id,salary,joining_date,direct_manager_id,contract_type
1,$4449.14,6/9/2024,600,Electrical
2,$1175.10,9/22/2023,610,Epoxy Flooring
3,$3964.96,1/13/2024,610,Ornamental Railings
4,$5247.00,6/11/2024,609,Casework
5,$2898.87,11/1/2023,600,Plumbing & Medical Gas
6,$2760.55,3/22/2024,604,"Temp Fencing, Decorative Fencing and Gates"
7,$1207.88,3/19/2024,608,HVAC
8,$1520.15,8/4/2024,605,Masonry & Precast
9,$7025.98,11/19/2023,603,Electrical and Fire Alarm
10,$3797.99,12/27/2023,601,Masonry & Precast
11,$3952.21,2/22/2024,604,Electrical
12,$9103.94,12/18/2023,604,Overhead Doors
13,$7675.13,9/8/2023,610,Ornamental Railings
14,$7413.46,10/13/2023,602,Hard Tile & Stone
15,$6318.26,1/7/2024,600,"Doors, Frames & Hardware"
16,$7587.11,8/9/2024,602,Roofing (Metal)
17,$4708.26,7/6/2024,609,Framing (Steel)
18,$1384.93,11/28/2023,610,Wall Protection
19,$1884.04,8/11/2024,600,Electrical and Fire Alarm
20,$7795.01,12/15/2023,607,Overhead Doors
21,$9977.37,1/22/2024,600,Construction Clean and Final Clean
22,$3185.09,11/19/2023,604,Wall Protection
23,$6065.39,11/28/2023,602,Epoxy Flooring
24,$7024.92,11/21/2023,603,Hard Tile & Stone
25,$7408.57,8/26/2023,610,Glass & Glazing
26,$1358.00,8/16/2024,607,Electrical and Fire Alarm
27,$4383.84,3/2/2024,601,Masonry
28,$8353.49,7/19/2024,608,Fire Protection
29,$5384.74,9/2/2023,602,Sitework & Site Utilities
30,$5191.68,9/25/2023,605,Retaining Wall and Brick Pavers
31,$4437.95,3/29/2024,606,Electrical and Fire Alarm
32,$9567.92,9/10/2023,604,Fire Sprinkler System
33,$4309.45,12/24/2023,606,Electrical
34,$5892.20,10/17/2023,605,Curb & Gutter
35,$9163.43,10/24/2023,607,Landscaping & Irrigation
36,$4851.05,7/27/2024,606,Site Furnishings
37,$7205.18,7/16/2024,604,Construction Clean and Final Clean
38,$1157.09,3/22/2024,605,Soft Flooring and Base
39,$3454.89,11/20/2023,600,Construction Clean and Final Clean
40,$3431.50,9/10/2023,600,Fire Protection
41,$9783.63,4/9/2024,604,Glass & Glazing
42,$8290.85,7/28/2024,607,Drywall & Acoustical (FED)
43,$1345.91,10/24/2023,600,Framing (Wood)
44,$1463.26,2/15/2024,606,Curb & Gutter
45,$5773.22,1/13/2024,603,Drywall & Acoustical (FED)
46,$4578.00,4/12/2024,603,Epoxy Flooring
47,$5901.20,3/18/2024,600,Casework
48,$6537.28,12/21/2023,605,Epoxy Flooring
49,$9624.37,3/14/2024,608,Elevator
50,$6082.92,10/19/2023,608,Fire Protection
51,$8358.44,7/5/2024,607,Structural & Misc Steel Erection
52,$7409.39,12/19/2023,602,Ornamental Railings
53,$2575.07,8/5/2024,608,Electrical
54,$4336.94,11/2/2023,608,Glass & Glazing
55,$7842.08,5/25/2024,607,Drywall & Acoustical (FED)
56,$9568.38,1/14/2024,604,Landscaping & Irrigation
57,$6602.03,12/19/2023,600,Structural and Misc Steel (Fabrication)
58,$5889.19,8/26/2023,610,Hard Tile & Stone
59,$7556.11,5/12/2024,606,Rebar & Wire Mesh Install
60,$6261.62,4/1/2024,606,HVAC
61,$4077.35,1/1/2024,606,Plumbing & Medical Gas
62,$8666.47,11/17/2023,603,Drilled Shafts
63,$8200.26,8/29/2023,608,RF Shielding
64,$4183.42,12/23/2023,605,"Doors, Frames & Hardware"
65,$3297.01,9/14/2023,605,Drywall & Acoustical (MOB)
66,$2892.14,8/15/2024,604,Painting & Vinyl Wall Covering
67,$3908.19,6/28/2024,609,Roofing (Asphalt)
68,$5010.12,10/9/2023,607,Casework
69,$5157.36,7/10/2024,606,Masonry
70,$2407.97,8/15/2024,610,Wall Protection
71,$6928.04,10/14/2023,604,Site Furnishings
72,$2114.56,8/8/2024,604,Framing (Steel)
73,$9000.12,3/19/2024,604,Termite Control
74,$7767.05,7/19/2024,604,Masonry
75,$9390.91,8/3/2024,607,HVAC
76,$3420.58,2/26/2024,601,Construction Clean and Final Clean
77,$4535.37,7/1/2024,601,Plumbing & Medical Gas
78,$8141.59,12/8/2023,600,Glass & Glazing
79,$1296.25,11/28/2023,603,Soft Flooring and Base
80,$1909.77,8/4/2024,610,Drilled Shafts
81,$1494.68,8/26/2023,601,Site Furnishings
82,$9617.32,11/16/2023,605,Hard Tile & Stone
83,$3026.20,2/1/2024,603,Site Furnishings
84,$2580.10,6/23/2024,610,Framing (Steel)
85,$4183.66,2/22/2024,602,"Temp Fencing, Decorative Fencing and Gates"
86,$3739.70,4/1/2024,606,Epoxy Flooring
87,$2576.88,5/14/2024,600,Marlite Panels (FED)
88,$1303.76,8/30/2023,600,Marlite Panels (FED)
89,$5806.30,4/3/2024,606,Prefabricated Aluminum Metal Canopies
90,$9998.11,5/22/2024,600,Casework
91,$2435.44,9/9/2023,610,Roofing (Metal)
92,$4842.49,8/1/2024,608,Waterproofing & Caulking
93,$6634.08,1/1/2024,603,Drywall & Acoustical (MOB)
94,$5723.88,10/16/2023,600,Termite Control
95,$1210.20,7/9/2024,601,Glass & Glazing
96,$2401.20,9/17/2023,601,Roofing (Asphalt)
97,$6151.81,5/24/2024,610,Plumbing & Medical Gas
98,$3603.61,5/7/2024,603,Exterior Signage
99,$9860.51,11/15/2023,604,Waterproofing & Caulking
100,$7062.81,10/10/2023,603,Termite Control
101,$6721.01,12/2/2023,601,Fire Protection
102,$3548.47,7/26/2024,600,Overhead Doors
103,$6476.75,10/19/2023,606,Rebar & Wire Mesh Install
104,$5871.82,6/28/2024,607,RF Shielding
105,$2740.88,12/8/2023,605,Prefabricated Aluminum Metal Canopies
106,$2734.33,1/9/2024,606,Casework
107,$6532.61,9/6/2023,605,Masonry
108,$2798.44,1/12/2024,608,Epoxy Flooring
109,$8090.63,8/26/2023,601,Asphalt Paving
110,$2858.13,6/12/2024,600,Sitework & Site Utilities
111,$8012.51,7/25/2024,610,Masonry
112,$1683.10,1/2/2024,602,Fire Protection
113,$7895.31,11/6/2023,607,"Temp Fencing, Decorative Fencing and Gates"
114,$1797.50,11/29/2023,601,Glass & Glazing
115,$6115.03,9/21/2023,605,HVAC
116,$7554.58,10/26/2023,608,Drywall & Acoustical (FED)
117,$4770.84,1/11/2024,607,Waterproofing & Caulking
118,$1660.33,10/28/2023,600,Structural & Misc Steel Erection
119,$1846.80,9/26/2023,610,Epoxy Flooring
120,$4616.53,11/18/2023,606,Curb & Gutter
121,$7418.72,11/21/2023,609,Glass & Glazing
122,$8129.18,10/17/2023,605,Structural & Misc Steel Erection
123,$5517.96,10/3/2023,606,Construction Clean and Final Clean
124,$1592.24,9/14/2023,608,"Doors, Frames & Hardware"
125,$7334.47,6/27/2024,603,"Temp Fencing, Decorative Fencing and Gates"
126,$1058.66,5/21/2024,604,Masonry
127,$5949.49,8/16/2024,607,Wall Protection
128,$1619.74,10/12/2023,606,RF Shielding
129,$7756.57,1/13/2024,608,Electrical
130,$4027.94,9/24/2023,600,Sitework & Site Utilities
131,$8008.55,7/12/2024,602,Rebar & Wire Mesh Install
132,$7022.65,2/14/2024,602,Framing (Steel)
133,$4361.13,3/8/2024,609,Electrical and Fire Alarm
134,$2716.48,11/22/2023,608,Site Furnishings
135,$5763.98,10/21/2023,609,Structural and Misc Steel (Fabrication)
136,$2602.86,3/24/2024,605,Casework
137,$4366.00,7/24/2024,603,Drywall & Acoustical (MOB)
138,$5713.41,5/1/2024,605,Painting & Vinyl Wall Covering
139,$9125.52,11/6/2023,606,Hard Tile & Stone
140,$5479.85,4/10/2024,601,Electrical
141,$4614.07,1/5/2024,607,Termite Control
142,$8242.85,5/1/2024,601,Structural and Misc Steel (Fabrication)
143,$7052.81,11/22/2023,602,Glass & Glazing
144,$9879.07,11/22/2023,602,Roofing (Metal)
145,$6215.98,11/27/2023,610,EIFS
146,$3109.06,10/13/2023,609,Casework
147,$1906.35,10/10/2023,607,Plumbing & Medical Gas
148,$3318.07,6/24/2024,607,Epoxy Flooring
149,$8782.81,7/20/2024,610,Sitework & Site Utilities
150,$2726.63,10/26/2023,602,Drilled Shafts
151,$1801.55,7/7/2024,600,Epoxy Flooring
152,$3344.92,3/29/2024,600,Roofing (Asphalt)
153,$5010.58,5/21/2024,600,Plumbing & Medical Gas
154,$1399.99,7/14/2024,602,Painting & Vinyl Wall Covering
155,$9663.45,7/27/2024,605,Termite Control
156,$1851.49,12/9/2023,608,Granite Surfaces
157,$9323.89,2/14/2024,603,Structural and Misc Steel (Fabrication)
158,$9662.12,9/14/2023,604,Construction Clean and Final Clean
159,$4700.18,8/24/2023,600,Drywall & Acoustical (MOB)
160,$3764.88,5/8/2024,606,Waterproofing & Caulking
161,$9715.30,3/9/2024,607,Drywall & Acoustical (FED)
162,$1970.67,11/3/2023,604,EIFS
163,$7069.87,7/11/2024,600,Ornamental Railings
164,$1418.50,2/6/2024,608,Exterior Signage
165,$6903.51,8/4/2024,607,Structural & Misc Steel Erection
166,$3074.45,11/16/2023,604,Marlite Panels (FED)
167,$1015.78,1/31/2024,608,Hard Tile & Stone
168,$5403.77,4/1/2024,606,Exterior Signage
169,$7836.66,3/9/2024,603,Rebar & Wire Mesh Install
170,$4056.25,5/8/2024,601,Drywall & Acoustical (MOB)
171,$8610.31,5/16/2024,600,Fire Protection
172,$1205.32,1/9/2024,604,Landscaping & Irrigation
173,$2376.68,1/19/2024,604,Glass & Glazing
174,$3704.47,4/19/2024,607,Construction Clean and Final Clean
175,$4445.35,1/8/2024,604,Construction Clean and Final Clean
176,$1287.51,10/24/2023,600,Masonry & Precast
177,$5954.96,7/27/2024,606,HVAC
178,$9682.86,9/13/2023,608,Waterproofing & Caulking
179,$3984.76,8/19/2023,601,Structural & Misc Steel Erection
180,$3431.51,12/24/2023,601,Plumbing & Medical Gas
